customer_id,gender,age,city,country,signup_date
1,Male,45,Bafoussam,Cameroon,2023-05-20
2,Male,53,Dschang,Cameroon,2023-04-21
3,Male,33,Dschang,Cameroon,2023-07-11
4,Femmale,57,Bafoussam,Cameroon,2022-02-01
5,Femmale,33,Bertoua,Cameroon,2022-04-28
6,Femmale,34,Bafoussam,Cameroon,2022-07-03
7,Male,68,Bamenda,Cameroon,2022-07-10
8,Male,32,Dschang,Cameroon,2023-12-29
9,Male,33,Douala,Cameroon,2022-03-15
10,Femmale,32,Bamenda,Cameroon,2023-09-15
11,Femmale,51,Yaounde,Cameroon,2022-04-13
12,Male,28,Buea,Cameroon,2023-08-09
13,Femmale,18,Bafoussam,Cameroon,2023-02-24
14,Male,32,Bertoua,Cameroon,2023-04-18
15,Femmale,43,Douala,Cameroon,2022-04-24
16,Femmale,68,Bertoua,Cameroon,2023-01-14
17,Femmale,21,Bertoua,Cameroon,2022-11-09
18,Male,60,Bertoua,Cameroon,2022-11-26
19,Femmale,22,Bafoussam,Cameroon,2022-12-05
20,Femmale,52,Douala,Cameroon,2022-08-26
21,Male,30,Douala,Cameroon,2022-06-22
22,Femmale,27,Dschang,Cameroon,2022-03-20
23,Male,28,Bertoua,Cameroon,2023-04-09
24,Male,35,Dschang,Cameroon,2023-08-28
25,Male,51,Dschang,Cameroon,2023-05-16
26,Male,56,Buea,Cameroon,2023-07-16
27,Male,58,Bafoussam,Cameroon,2022-10-12
28,Femmale,59,Bafoussam,Cameroon,2022-08-11
29,Male,67,Bamenda,Cameroon,2023-08-16
30,Male,40,Dschang,Cameroon,2022-09-23
31,Male,24,Bafoussam,Cameroon,2023-10-29
32,Male,56,Bertoua,Cameroon,2023-01-08
33,Femmale,20,Yaounde,Cameroon,2022-08-21
34,Male,29,Bertoua,Cameroon,2022-08-24
35,Femmale,24,Douala,Cameroon,2023-11-02
36,Male,66,Bafoussam,Cameroon,2022-11-10
37,Femmale,43,Bafoussam,Cameroon,2023-01-15
38,Male,50,Bamenda,Cameroon,2023-09-06
39,Male,54,Dschang,Cameroon,2023-07-17
40,Femmale,65,Yaounde,Cameroon,2023-02-24
41,Male,32,Bafoussam,Cameroon,2022-02-21
42,Femmale,19,Bamenda,Cameroon,2023-12-22
43,Male,58,Bamenda,Cameroon,2023-10-05
44,Femmale,24,Yaounde,Cameroon,2023-05-24
45,Male,49,Bertoua,Cameroon,2022-07-24
46,Male,21,Bertoua,Cameroon,2022-09-14
47,Femmale,37,Bertoua,Cameroon,2022-07-04
48,Male,67,Buea,Cameroon,2022-05-25
49,Male,53,Dschang,Cameroon,2023-11-21
50,Male,49,Dschang,Cameroon,2022-01-14
51,Male,45,Bertoua,Cameroon,2022-09-03
52,Male,30,Yaounde,Cameroon,2022-07-06
53,Male,18,Buea,Cameroon,2022-12-03
