campaign_id,channel,cost,impressions,clicks,conversions,date
1,TikTok,4718.04,306399,24832,1883,2023-07-10
2,Google Ads,4986.87,577253,148845,6044,2023-06-12
3,TikTok,1482.68,788669,76009,9001,2024-03-31
4,Instagram,2919.31,918243,5820,5220,2023-03-02
5,TikTok,2308.52,53195,59215,572,2023-01-05
6,Instagram,2862.71,380919,115943,1206,2023-02-06
7,Google Ads,871.52,37326,52040,3080,2024-04-04
8,TikTok,4295.13,137365,136325,2460,2023-08-05
9,Google Ads,4556.89,550562,71862,9933,2024-12-28
10,Facebook,2303.34,413453,84933,4005,2023-05-19
11,TikTok,1474.11,357064,147759,4925,2024-09-09
12,TikTok,790.08,883961,18306,2613,2023-04-09
13,Google Ads,3450.45,996851,91571,1715,2024-11-10
14,Google Ads,1629.94,674589,95269,5245,2023-09-21
15,Google Ads,4556.74,498882,10836,1569,2024-08-21
16,Facebook,3387.96,604135,107037,676,2024-08-18
17,Facebook,3263.86,258966,138143,2513,2023-08-12
18,Google Ads,2841.07,319862,56677,8992,2023-01-11
19,TikTok,324.3,856150,131103,9333,2023-11-23
20,TikTok,4666.42,506818,87802,3052,2024-11-28
21,Google Ads,3176.89,574903,78794,2031,2023-12-16
22,Instagram,4970.9,643836,91410,1508,2024-01-14
23,Facebook,2733.05,72296,55255,9302,2023-08-19
24,Facebook,3579.54,860228,128591,4329,2023-05-21
25,Instagram,375.43,244083,142280,912,2024-09-09
26,Google Ads,3195.51,920419,77713,5243,2023-02-18
27,TikTok,3846.78,337795,57038,5322,2024-03-26
28,TikTok,3914.72,446990,101263,1055,2024-05-05
29,Facebook,3873.55,8076,68598,7630,2023-07-24
30,Instagram,1208.78,343494,17851,7107,2024-02-13
31,TikTok,4879.45,951587,111261,5670,2024-02-11
32,Facebook,4976.39,841350,32490,1750,2023-02-20
33,TikTok,470.42,399009,101313,7575,2023-06-24
34,TikTok,4688.59,260040,108812,6387,2023-09-18
35,TikTok,1518.3,837960,147165,3012,2024-04-24
36,Facebook,3477.49,380647,60503,3428,2023-08-11
37,Instagram,1756.74,67798,26959,6463,2023-09-26
38,Google Ads,4842,10319,99224,5138,2023-11-14
39,Instagram,597.37,407410,126040,8548,2024-01-20
40,TikTok,2538.96,413525,27200,6260,2024-08-08
41,Instagram,2197.43,190468,117450,5255,2024-09-17
42,TikTok,1697.51,750656,121892,4391,2023-08-07
43,Facebook,3263.12,290142,54624,7547,2023-02-23
44,Facebook,742.17,4468,102857,7322,2023-07-19
45,Facebook,3611.65,113178,85149,9809,2024-10-04
46,TikTok,4904.9,144723,45074,9815,2023-12-05
47,Instagram,4042.34,414621,53868,5224,2024-12-04
48,Google Ads,4314.08,670842,48644,9857,2024-11-21
49,Google Ads,1862.22,791841,149222,7951,2023-11-01
50,Facebook,1691.94,67083,11874,9787,2023-09-02
51,Google Ads,2633.54,235267,77778,1989,2024-09-20
52,TikTok,324.06,86443,50235,8720,2023-07-27
53,Instagram,4732.25,810858,25258,2604,2024-12-24
54,Google Ads,804.55,895457,71687,2407,2024-05-25
55,Google Ads,4524.76,842189,135287,63,2023-09-16
56,Instagram,509.55,146508,59417,2812,2024-01-15
57,Google Ads,4130.86,803922,6471,4027,2023-06-12
58,Instagram,844.62,517952,94326,101,2023-12-07
59,TikTok,286.84,577424,39455,3135,2024-07-29
60,TikTok,3625.5,161034,98056,1180,2024-06-13
61,TikTok,1473.3,497988,113638,5509,2023-02-03
62,Facebook,3601.03,423504,102226,7530,2023-11-19
63,TikTok,2819.92,285380,8438,2728,2023-06-30
64,Google Ads,633.16,146995,2577,7631,2023-12-13
65,Facebook,4667.44,985290,42523,8590,2024-12-06
66,Facebook,2316.34,187963,76073,404,2023-07-11
67,Facebook,3698.79,407480,29336,2873,2024-08-01
68,TikTok,2555,854579,131540,3268,2024-12-21
69,Facebook,3061.37,795360,25939,2694,2024-11-09
70,TikTok,1583.59,690918,117637,2467,2023-09-03
71,TikTok,1081.77,319513,112002,4315,2023-09-02
72,Facebook,2758.59,329547,101151,1921,2024-11-08
73,Facebook,2257.07,884657,7239,3959,2024-12-23
74,Google Ads,2011.55,308357,108414,6840,2023-05-13
75,Facebook,3395.58,99631,64362,9732,2023-07-16
76,TikTok,3483.48,529104,137876,4848,2023-12-13
77,Google Ads,325.01,885594,133059,7623,2023-02-18
78,Google Ads,1759.85,954420,12075,3368,2023-03-05
79,TikTok,2117.65,310982,131716,7872,2024-09-15
80,Facebook,574.77,253536,85084,679,2024-11-27
81,Facebook,1255.91,260525,88466,7506,2023-04-14
82,Instagram,353.04,667933,120591,747,2023-08-01
83,Facebook,4981.59,961838,50482,1321,2024-05-31
84,Instagram,3709.13,740835,24026,7927,2023-04-29
85,Google Ads,528.51,66364,96638,3748,2024-11-09
86,Google Ads,199.22,407373,113217,5862,2023-08-30
87,Google Ads,3624.51,796754,13433,4789,2023-10-07
88,Instagram,2252.04,644312,17042,533,2024-02-28
89,TikTok,3955.3,265626,74497,1818,2023-12-29
90,TikTok,4625.03,823299,21630,2341,2023-11-02
91,Google Ads,3036.57,781991,47160,6694,2024-12-17
92,Instagram,1016.83,766176,81392,5006,2024-04-30
93,Instagram,3932.75,342355,41204,4545,2023-11-10
94,Google Ads,4783.48,359100,2734,9660,2024-05-27
95,Facebook,2943.13,895484,7388,7227,2024-11-13
96,Google Ads,3441.79,209343,34353,4907,2023-06-16
97,Instagram,1753.63,514690,126728,7978,2024-01-29
98,Facebook,1969.49,866818,27105,4485,2023-03-04
99,TikTok,3699.81,7732,49924,1235,2023-09-29
100,Facebook,4646.08,172825,77802,9900,2023-02-06
101,TikTok,3182.04,767364,17898,7655,2023-01-16
102,Instagram,3970.25,236430,55367,1145,2023-12-09
103,Google Ads,941.01,247328,135066,7420,2023-12-12
104,Google Ads,1138.6,35422,3946,1475,2024-06-22
105,Google Ads,2706.97,602252,63671,2921,2024-09-14
106,Google Ads,965.12,57284,14581,5679,2023-08-21
107,Google Ads,3211.48,653863,125008,7696,2024-07-29
108,Instagram,1529.1,536599,42254,5415,2024-08-31
109,Instagram,3978.51,725629,129547,4938,2024-02-20
110,Google Ads,4059.74,916939,8148,1604,2023-09-24
111,Facebook,2372.56,512133,27486,5047,2023-11-22
112,Google Ads,985.97,433795,104894,8743,2024-03-18
113,TikTok,3269.2,205950,34813,8175,2024-07-13
114,TikTok,4964.66,339144,147963,7619,2024-12-22
115,TikTok,3150.7,915691,77581,6117,2023-03-17
116,TikTok,275.3,180586,39999,7929,2023-09-04
117,Google Ads,184.74,832743,90317,1836,2024-08-02
118,TikTok,1669.77,11300,15075,5904,2023-11-09
119,Facebook,1059.34,590663,73347,6476,2024-07-29
120,Google Ads,4083.95,821995,110395,7273,2024-11-24
121,TikTok,4239.55,443176,119145,9316,2024-08-14
122,Google Ads,1367.23,646515,12205,1382,2023-12-09
123,Google Ads,1695.66,80244,49745,9962,2024-12-15
124,Google Ads,1257.61,391305,130391,3400,2023-07-01
125,Instagram,4551.07,912739,30246,8056,2024-12-26
126,TikTok,2562.98,684450,135040,8226,2024-09-23
127,Instagram,3315.07,639975,44394,2204,2024-02-03
128,Facebook,2135.86,17328,75696,3344,2023-08-29
129,Facebook,3191.97,420870,136605,3014,2024-12-14
130,Instagram,1990.69,662574,22712,7919,2023-10-19
131,TikTok,1764.42,189812,148994,9972,2023-02-23
132,Google Ads,3208.95,983453,34220,1628,2023-05-25
133,Facebook,2996.2,957417,21394,6764,2023-12-22
134,Facebook,1538.29,946056,84400,9521,2024-08-20
135,Facebook,831.81,822809,82219,5745,2024-04-21
136,TikTok,1906.03,157806,81196,9751,2023-01-22
137,Instagram,2134.47,353401,135596,8996,2023-11-27
138,Instagram,3180.55,543898,40715,1290,2023-10-19
139,TikTok,4581.19,976111,26963,7010,2023-08-24
140,Facebook,277.31,473374,29569,2586,2023-01-29
141,TikTok,1293.94,160947,103201,6123,2024-11-25
142,TikTok,1049.21,56082,89546,4930,2023-06-09
143,Instagram,2561.24,548514,112713,2550,2024-06-13
144,TikTok,2205.53,815109,117556,955,2024-07-03
145,TikTok,3672.28,142370,63972,8771,2023-04-11
146,Facebook,1287.84,298992,32308,1997,2023-10-17
147,Google Ads,3013.04,624579,52098,6983,2024-01-12
148,Facebook,4430.9,387371,57094,9857,2023-06-22
149,Instagram,4562.32,851086,59995,7129,2023-12-09
150,Google Ads,4798.04,805176,32994,2130,2024-08-01
151,Facebook,3888.98,679794,22090,7209,2023-07-10
152,TikTok,4539.34,106850,73330,6299,2024-03-14
153,TikTok,1249.2,835433,36187,3740,2024-07-08
154,Google Ads,1068.15,985766,8773,2500,2024-09-26
155,Google Ads,131.79,60633,32287,9834,2023-12-09
156,TikTok,3563.54,574205,23653,7451,2024-12-08
157,Instagram,4693.59,867236,43880,5307,2023-05-05
158,Facebook,1015.98,703105,104894,6767,2024-08-30
159,TikTok,3221.02,264051,82258,1497,2024-10-30
160,Facebook,3757.65,878727,1520,8813,2024-07-05
161,Facebook,4645.31,714962,44410,3144,2023-12-26
162,Facebook,3269.62,407980,44053,9651,2024-05-17
163,Facebook,4854.44,418625,5087,8025,2023-06-22
164,Instagram,1788.9,926894,32556,292,2024-01-29
165,Instagram,1814.65,31172,118863,8846,2024-04-05
166,Instagram,2760.76,387080,85498,2804,2024-11-15
167,TikTok,1979.16,232831,117283,7604,2023-04-30
168,TikTok,106.99,628800,89882,7139,2023-09-30
169,TikTok,3685.68,696902,122840,7828,2023-12-24
170,Instagram,3783.41,965828,29781,6203,2024-01-21
171,Facebook,3760.18,49196,8423,1621,2023-11-15
172,Instagram,1790.6,856333,67493,7871,2023-09-18
173,TikTok,2659.22,420052,96223,4014,2023-10-08
174,Google Ads,1863.87,940167,91454,3505,2023-11-25
175,TikTok,178.58,662311,98908,8710,2023-05-04
176,Facebook,2856,278319,8584,2685,2024-04-20
177,Instagram,706.43,405243,70559,27,2023-10-05
178,Google Ads,492.2,108809,127262,265,2023-04-03
179,Google Ads,3801.95,338774,81556,9498,2024-06-30
180,Facebook,146.58,876049,54990,7105,2023-05-08
181,Instagram,4799.14,668527,13419,6906,2024-06-15
182,Google Ads,2624.75,206377,107797,5075,2023-06-16
183,TikTok,4916.78,417276,126293,5819,2023-08-24
184,Facebook,384.19,128310,59532,810,2023-02-01
185,Google Ads,2959.29,329700,138072,4676,2023-08-19
186,Facebook,1811.7,995885,67796,3390,2023-07-10
187,Instagram,4233.06,889580,147408,610,2024-10-18
188,Instagram,1869.99,758237,56585,4546,2024-09-04
189,Instagram,1376.39,11485,122459,5027,2024-08-13
190,TikTok,4302.01,366890,137393,5724,2024-05-22
191,Google Ads,1935.8,991954,25394,202,2024-04-01
192,Instagram,182.48,777106,141210,401,2024-11-02
193,TikTok,2012.42,631543,8355,2027,2023-09-12
194,Instagram,3307.16,534090,109529,9081,2023-10-06
195,Instagram,1346.36,501040,87564,178,2024-11-30
196,Google Ads,2216.74,820746,131544,5817,2024-12-22
197,TikTok,377.9,779578,112948,1979,2023-02-25
198,Instagram,2981.65,966802,23955,7185,2024-10-10
199,TikTok,3805.85,806997,34858,3984,2023-04-16
200,TikTok,2125.23,94153,140779,5665,2024-08-03
201,Instagram,2159.14,878577,105194,5021,2024-12-02
202,Instagram,532.58,831665,74189,5522,2023-07-11
203,Facebook,1089.51,480123,5483,5512,2023-10-05
204,Google Ads,857.91,835816,60212,2983,2024-06-27
